#,漢字,等價,異形,聲母,韻母,調
194,𦡂,,,低聲,春公,2
195,𧽿,,,低聲,春公,2
196,𧄓,,,低聲,春公,2
197,蕫,,,低聲,春公,2
198,凍,,,低聲,春公,3
199,棟,,,低聲,春公,3
200,頓,,,低聲,春公,3
201,囤,,,低聲,春公,3
202,蝀,,,低聲,春公,3
203,𧡍,,,低聲,春公,3
204,篤,,,低聲,春公,4
205,炢,,,低聲,春公,4
206,督,,,低聲,春公,4
207,裻,,,低聲,春公,4
208,笜,,,低聲,春公,4
209,同,,,低聲,春公,5
210,仝,,,低聲,春公,5
211,桐,,,低聲,春公,5
212,童,,,低聲,春公,5
213,僮,,,低聲,春公,5
214,瞳,,,低聲,春公,5
215,彤,,,低聲,春公,5
216,鼕,,,低聲,春公,5
217,罿,,,低聲,春公,5
218,穜,,,低聲,春公,5
219,曈,,,低聲,春公,5
220,朣,,,低聲,春公,5
221,峒,,,低聲,春公,5
222,絧,,,低聲,春公,5
223,橦,,,低聲,春公,5
224,𦨴,,,低聲,春公,5
225,筒,,,低聲,春公,5
226,詷,,,低聲,春公,5
227,筩,,,低聲,春公,5
228,潼,,,低聲,春公,5
229,㤏,,,低聲,春公,5
230,𢥞,,,低聲,春公,5
231,浵,,,低聲,春公,5
232,𦏆,,,低聲,春公,5
233,𦍻,,,低聲,春公,5
234,㢥,,,低聲,春公,5
235,氃,,,低聲,春公,5
236,挏,,,低聲,春公,5
237,酮,,,低聲,春公,5
238,衕,,,低聲,春公,5
239,幢,,,低聲,春公,5
240,鮦,,,低聲,春公,5
241,膧,,,低聲,春公,5
242,𦒍,,,低聲,春公,5
243,䴀,,,低聲,春公,5
244,㸗,,,低聲,春公,5
245,䮵,,,低聲,春公,5
246,恫,,,低聲,春公,5
247,動,,,低聲,春公,7
248,慟,,,低聲,春公,7
249,洞,,,低聲,春公,7
250,沌,,,低聲,春公,7
251,鈍,,,低聲,春公,7
252,飩,,,低聲,春公,7
253,恫,,,低聲,春公,7
254,炯,,,低聲,春公,7
255,霘,,,低聲,春公,7
256,迵,,,低聲,春公,7
257,㗢,,,低聲,春公,7
258,𪔦,,,低聲,春公,7
259,衕,,,低聲,春公,7
260,獨,,,低聲,春公,8
261,犢,,,低聲,春公,8
262,𤛯,,,低聲,春公,8
263,韣,,,低聲,春公,8
264,牘,,,低聲,春公,8
265,匵,,,低聲,春公,8
266,瀆,,,低聲,春公,8
267,凟,,,低聲,春公,8
268,毒,,,低聲,春公,8
269,纛,,,低聲,春公,8
270,皾,,,低聲,春公,8
271,殰,,,低聲,春公,8
272,𪍹,,,低聲,春公,8
273,𩞾,,,低聲,春公,8
274,䮷,,,低聲,春公,8
275,髑,,,低聲,春公,8
276,嬻,,,低聲,春公,8
277,𣰬,,,低聲,春公,8
278,𢷺,,,低聲,春公,8
279,櫝,,,低聲,春公,8
280,蜂,,,波,春公,1
281,𧒒,,,波,春公,1
282,蠭,,,波,春公,1
283,歕,,,波,春公,1
284,捧,,,波,春公,2
285,抙,,,波,春公,2
286,紡,,,波,春公,2
287,琫,,,波,春公,2
288,唪,,,波,春公,2
289,𣨞,,,波,春公,2
290,𩗴,,,波,春公,2
291,玤,,,波,春公,2
292,噴,,,波,春公,3
293,䭰,,,波,春公,3
294,埲,,,波,春公,3
295,𢅯,,,波,春公,3
296,蹼,,,波,春公,3
297,𧼱,,,波,春公,4
298,覆,,,波,春公,4
299,蓬,,,波,春公,5
300,帆,,,波,春公,5
301,篷,,,波,春公,5
302,鬔,,,波,春公,5
303,髼,,,波,春公,5
304,縫,,,波,春公,5
305,𩐛,,,波,春公,5
306,韸,,,波,春公,5
307,韼,,,波,春公,5
308,䡫,,,波,春公,5
309,㦀,,,波,春公,5
310,熢,,,波,春公,5
311,通,,,他皆,春公,1
312,𪔝,,,他皆,春公,1
313,蓪,,,他皆,春公,1
314,熥,,,他皆,春公,1
315,統,,,他皆,春公,2
316,冢,,,他皆,春公,2
317,塚,,,他皆,春公,2
318,痛,,,他皆,春公,3
319,恫,,,他皆,春公,3
320,黜,,,他皆,春公,4
321,怵,,,他皆,春公,4
322,㤕,,,他皆,春公,4
323,柮,,,他皆,春公,4
324,𩢎,,,他皆,春公,4
325,䥢,,,他皆,春公,5
326,讀,,,他皆,春公,8
327,黷,,,他皆,春公,8
328,禿,,,他皆,春公,8
329,鐓,,,他皆,春公,8
330,鵚,,,他皆,春公,8
331,𧳌,,,他皆,春公,8
332,䛢,,,他皆,春公,8
333,讟,,,他皆,春公,8
334,宗,,,曾之,春公,1
335,踪,,,曾之,春公,1
336,蹤,,,曾之,春公,1
337,逡,,,曾之,春公,1
338,緵,,,曾之,春公,1
339,𨺡,,,曾之,春公,1
340,鬉,,,曾之,春公,1
341,鏦,,,曾之,春公,1
342,𥓻,,,曾之,春公,1
343,㨑,,,曾之,春公,1
344,稯,,,曾之,春公,1
345,磫,,,曾之,春公,1
346,瘲,,,曾之,春公,1
347,㼻,,,曾之,春公,1
348,𨍈,,,曾之,春公,1
349,𨲇,,,曾之,春公,1
350,𪖁,,,曾之,春公,1
351,鬷,,,曾之,春公,1
352,豵,,,曾之,春公,1
353,椶,,,曾之,春公,1
354,騣,,,曾之,春公,1
355,嵏,,,曾之,春公,1
356,翪,,,曾之,春公,1
357,艐,,,曾之,春公,1
358,總,,,曾之,春公,2
359,搃,,,曾之,春公,2
360,准,,,曾之,春公,2
361,準,,,曾之,春公,2
362,隼,,,曾之,春公,2
363,傯,,,曾之,春公,2
364,𩮰,,,曾之,春公,2
365,純,,,曾之,春公,2
366,俊,,,曾之,春公,3
367,鐫,,,曾之,春公,3
368,竣,,,曾之,春公,3
369,峻,,,曾之,春公,3
370,浚,,,曾之,春公,3
371,駿,,,曾之,春公,3
372,汌,,,曾之,春公,3
373,圳,,,曾之,春公,3
374,濬,,,曾之,春公,3
375,雋,,,曾之,春公,3
376,䝋,,,曾之,春公,3
377,𧱭,,,曾之,春公,3
378,懏,,,曾之,春公,3
379,晙,,,曾之,春公,3
380,畯,,,曾之,春公,3
381,睃,,,曾之,春公,3
382,賐,,,曾之,春公,3
383,餕,,,曾之,春公,3
384,脧,,,曾之,春公,3
385,陖,,,曾之,春公,3
386,鵔,,,曾之,春公,3
387,卒,,,曾之,春公,4
388,猝,,,曾之,春公,4
389,咄,,,曾之,春公,4
390,蔟,,,曾之,春公,4
391,踤,,,曾之,春公,4
392,䱣,,,曾之,春公,4
393,䯿,,,曾之,春公,4
394,崇,,,曾之,春公,5
395,叢,,,曾之,春公,5
396,樷,,,曾之,春公,5
397,⿳艹丅取,,菆,曾之,春公,5
398,藂,,,曾之,春公,5
399,𥵫,,,曾之,春公,5
400,潀,,,曾之,春公,5
401,賨,,,曾之,春公,5
402,爜,,,曾之,春公,5
403,𩅃,,,曾之,春公,5
404,𩞉,,,曾之,春公,5
405,徖,,,曾之,春公,5
406,悰,,,曾之,春公,5
407,𦇱,,,曾之,春公,5
408,誴,,,曾之,春公,5
409,琮,,,曾之,春公,5
410,族,,,曾之,春公,8
411,蔟,,,曾之,春公,8
412,鷟,,,曾之,春公,8
413,鏃,,,曾之,春公,8
414,𡻬,,,曾之,春公,8
415,齈,,,日女,春公,1
416,𨑊,,,日女,春公,2
417,癑,,,日女,春公,2
418,冗,,,日女,春公,2
419,戇,,,日女,春公,3
420,農,,,日女,春公,5
421,辳,,,日女,春公,5
422,穠,,,日女,春公,5
423,濃,,,日女,春公,5
424,膿,,,日女,春公,5
425,噥,,,日女,春公,5
426,醲,,,日女,春公,5
427,𪆯,,,日女,春公,5
428,𪒬,,,日女,春公,5
429,襛,,,日女,春公,5
430,儂,,,日女,春公,5
431,𩅽,,,日女,春公,5
432,蕽,,,日女,春公,5
433,𩟊,,,日女,春公,5
434,憹,,,日女,春公,5
435,欁,,,日女,春公,5
436,閏,,,日女,春公,7
437,𪼙,,,日女,春公,7
438,𨬔,,,日女,春公,7
439,韌,,,日女,春公,7
440,𧖩,,,日女,春公,8
441,衄,,,日女,春公,8
442,䘐,,,日女,春公,8
443,嵩,,,時授,春公,1
444,崧,,,時授,春公,1
445,鬆,,,時授,春公,1
446,詢,,,時授,春公,1
447,洵,,,時授,春公,1
448,珣,,,時授,春公,1
449,殉,,,時授,春公,1
450,狥,,,時授,春公,1
451,徇,,,時授,春公,1
452,凇,,,時授,春公,1
453,菘,,,時授,春公,1
454,蜙,,,時授,春公,1
455,笋,,,時授,春公,2
456,筍,,,時授,春公,2
457,恂,,,時授,春公,2
458,悚,,,時授,春公,2
459,竦,,,時授,春公,2
460,聳,,,時授,春公,2
461,𢱤,,,時授,春公,2
462,㨚,,,時授,春公,2
463,毥,,,時授,春公,2
464,荀,,,時授,春公,2
465,駷,,,時授,春公,2
466,䙕,,,時授,春公,2
467,⿲扌隻隻,㩳,,時授,春公,2
468,𡾼,,,時授,春公,2
469,駨,,,時授,春公,2
470,㰬,,,時授,春公,2
471,舜,,,時授,春公,3
472,瞬,,,時授,春公,3
473,宋,,,時授,春公,3
474,俕,,,時授,春公,3
475,送,,,時授,春公,3
476,䴄,,,時授,春公,3
477,橓,,,時授,春公,3
478,束,,,時授,春公,4
479,速,,,時授,春公,4
480,觫,,,時授,春公,4
481,𣚯,,,時授,春公,4
482,樕,,,時授,春公,4
483,蔌,,,時授,春公,4
484,漱,,,時授,春公,4
485,涑,,,時授,春公,4
486,遫,,,時授,春公,4
487,恤,,,時授,春公,4
488,卹,,,時授,春公,4
489,戌,,,時授,春公,4
490,俶,,,時授,春公,4
491,賉,,,時授,春公,4
492,𧐒,,,時授,春公,4
493,誎,,,時授,春公,4
494,𪋗,,,時授,春公,4
495,餗,,,時授,春公,4
496,銊,,,時授,春公,4
497,𩳒,,,時授,春公,4
498,⿺辶蔌,藗,,時授,春公,4
499,⿰爿朮,,,時授,春公,4
500,訹,,,時授,春公,4
501,⿰彳束,,,時授,春公,4
502,𣨤,,,時授,春公,4
503,簌,,,時授,春公,4
504,珬,,,時授,春公,4
505,船,,,時授,春公,5
506,舡,,,時授,春公,5
507,唇,,,時授,春公,5
508,⿱辰刀,,,時授,春公,5
509,旬,,,時授,春公,5
510,恂,,,時授,春公,5
511,循,,,時授,春公,5
512,徇,,,時授,春公,5
513,純,,,時授,春公,5
514,淳,,,時授,春公,5
515,巡,,,時授,春公,5
516,馴,,,時授,春公,5
517,㦏,,,時授,春公,5
518,揗,,,時授,春公,5
519,㵌,,,時授,春公,5
520,紃,,,時授,春公,5
521,𪀠,,,時授,春公,5
522,郇,,,時授,春公,5
523,迿,,,時授,春公,5
524,𨺠,,,時授,春公,5
525,𡗥,,,時授,春公,5
526,鯙,,,時授,春公,5
527,䙉,,,時授,春公,5
528,䋸,,,時授,春公,5
529,醇,,,時授,春公,5
530,鶉,,,時授,春公,5
531,錞,,,時授,春公,5
532,脣,,,時授,春公,5
533,肫,,,時授,春公,5
534,順,,,時授,春公,7
535,述,,,時授,春公,8
536,朮,,,時授,春公,8
537,秫,,,時授,春公,8
538,術,,,時授,春公,8
539,𧺶,,,時授,春公,8
540,𩗕,,,時授,春公,8
541,鉥,,,時授,春公,8
542,𩶄,,,時授,春公,8
543,沭,,,時授,春公,8
544,潏,,,時授,春公,8
545,溫,,,鶯亦,春公,1
546,翁,,,鶯亦,春公,1
547,塕,,,鶯亦,春公,1
548,煴,,,鶯亦,春公,1
549,氳,,,鶯亦,春公,1
550,瘟,,,鶯亦,春公,1
551,㬈,,,鶯亦,春公,1
552,⿰禾昷,𥠺,,鶯亦,春公,1
553,螉,,,鶯亦,春公,1
554,輼,,,鶯亦,春公,1
555,⿰馬昷,𩥈,,鶯亦,春公,1
556,䱵,,,鶯亦,春公,1
557,鶲,,,鶯亦,春公,1
558,緼,,,鶯亦,春公,1
559,薀,,,鶯亦,春公,1
560,𩔚,,,鶯亦,春公,1
561,馧,,,鶯亦,春公,1
562,㺋,,,鶯亦,春公,1
563,𨷇,,,鶯亦,春公,1
564,⿰鹵昷,𪉸,,鶯亦,春公,1
565,奫,,,鶯亦,春公,1
566,穩,,,鶯亦,春公,2
567,韞,,,鶯亦,春公,2
568,蘊,,,鶯亦,春公,2
569,刎,,,鶯亦,春公,2
570,吻,,,鶯亦,春公,2
571,殞,,,鶯亦,春公,2
572,隕,,,鶯亦,春公,2
573,䐇,,,鶯亦,春公,2
574,𤸫,,,鶯亦,春公,2
575,抆,,,鶯亦,春公,2
576,愪,,,鶯亦,春公,2
577,霣,,,鶯亦,春公,2
578,緼,,,鶯亦,春公,2
579,惲,,,鶯亦,春公,2
580,慍,,,鶯亦,春公,3
581,揾,,,鶯亦,春公,3
582,醖,,,鶯亦,春公,3
583,蓊,,,鶯亦,春公,3
584,𧛹,,,鶯亦,春公,3
585,𩌋,,,鶯亦,春公,3
586,媼,,,鶯亦,春公,3
587,屋,,,鶯亦,春公,4
588,欝,,,鶯亦,春公,4
589,𩰪,,,鶯亦,春公,4
590,⿰扌欝,𢺴,,鶯亦,春公,4
591,熨,,,鶯亦,春公,4
592,叞,,,鶯亦,春公,4
593,𨜘,,,鶯亦,春公,4
594,媉,,,鶯亦,春公,4
595,𤓣,,,鶯亦,春公,4
596,䵥,,,鶯亦,春公,4
597,文,,,鶯亦,春公,5
598,玟,,,鶯亦,春公,5
599,雯,,,鶯亦,春公,5
600,紋,,,鶯亦,春公,5
601,蚊,,,鶯亦,春公,5
602,紜,,,鶯亦,春公,5
603,芸,,,鶯亦,春公,5
604,耘,,,鶯亦,春公,5
605,云,,,鶯亦,春公,5
606,聞,,,鶯亦,春公,5
607,𥹢,,,鶯亦,春公,5
608,炆,,,鶯亦,春公,5
609,沄,,,鶯亦,春公,5
610,忶,,,鶯亦,春公,5
611,运,,,鶯亦,春公,5
612,鼤,,,鶯亦,春公,5
613,魰,,,鶯亦,春公,5
614,螡,,,鶯亦,春公,5
615,蟁,,,鶯亦,春公,5
616,問,,,鶯亦,春公,7
617,韻,,,鶯亦,春公,7
618,韵,,,鶯亦,春公,7
619,紊,,,鶯亦,春公,7
620,汶,,,鶯亦,春公,7
621,運,,,鶯亦,春公,7
622,𤸫,,,鶯亦,春公,7
623,妏,,,鶯亦,春公,7
624,抆,,,鶯亦,春公,7
625,暈,,,鶯亦,春公,7
626,勿,,,鶯亦,春公,8
627,物,,,鶯亦,春公,8
628,岉,,,鶯亦,春公,8
629,𣃦,,,鶯亦,春公,8
630,昒,,,鶯亦,春公,8
631,㫚,,,鶯亦,春公,8
632,沕,,,鶯亦,春公,8
633,芴,,,鶯亦,春公,8
634,儚,,,蒙美,春公,1
635,懵,,,蒙美,春公,2
636,懞,,,蒙美,春公,2
637,夢,,,蒙美,春公,3
638,梦,,,蒙美,春公,3
639,㝱,,,蒙美,春公,3
640,𪇓,,,蒙美,春公,3
641,懜,,,蒙美,春公,3
642,沒,,,蒙美,春公,4
643,蒙,,,蒙美,春公,5
644,幪,,,蒙美,春公,5
645,濛,,,蒙美,春公,5
646,朦,,,蒙美,春公,5
647,矇,,,蒙美,春公,5
648,瞢,,,蒙美,春公,5
649,艨,,,蒙美,春公,5
650,䙩,,,蒙美,春公,5
651,曚,,,蒙美,春公,5
652,饛,,,蒙美,春公,5
653,𨱨,,,蒙美,春公,5
654,𩴲,,,蒙美,春公,5
655,𪇓,,,蒙美,春公,5
656,㩚,,,蒙美,春公,5
657,𨞫,,,蒙美,春公,5
658,𨮵,,,蒙美,春公,5
659,靀,,,蒙美,春公,5
660,𩦺,,,蒙美,春公,5
661,悶,,,蒙美,春公,7
662,㥃,,,蒙美,春公,7
663,懣,,,蒙美,春公,7
664,木,,,蒙美,春公,8
665,沐,,,蒙美,春公,8
666,沒,,,蒙美,春公,8
667,歿,,,蒙美,春公,8
668,歾,,,蒙美,春公,8
669,穆,,,蒙美,春公,8
670,繆,,,蒙美,春公,8
671,睦,,,蒙美,春公,8
672,牧,,,蒙美,春公,8
673,𩵦,,,蒙美,春公,8
674,炑,,,蒙美,春公,8
675,䊾,,,蒙美,春公,8
676,毣,,,蒙美,春公,8
677,万,,,蒙美,春公,8
678,目,,,蒙美,春公,8
679,苜,,,蒙美,春公,8
680,㾇,,,蒙美,春公,8
681,霂,,,蒙美,春公,8
682,莯,,,蒙美,春公,8
683,坶,,,蒙美,春公,8
684,蚞,,,蒙美,春公,8
685,楘,,,蒙美,春公,8
686,𨍎,,,蒙美,春公,8
687,鶩,,,蒙美,春公,8
688,春,,,出,春公,1
689,萅,,,出,春公,1
690,椿,,,出,春公,1
691,聰,,,出,春公,1
692,驄,,,出,春公,1
693,騘,,,出,春公,1
694,鶉,,,出,春公,1
695,𪂹,,,出,春公,1
696,㷓,,,出,春公,1
697,葱,,,出,春公,1
698,鏦,,,出,春公,1
699,𨡮,,,出,春公,1
700,𩬼,,,出,春公,1
701,䐋,,,出,春公,1
702,暰,,,出,春公,1
703,鰆,,,出,春公,1
704,橁,,,出,春公,1
705,鶞,,,出,春公,1
706,㮔,,,出,春公,1
707,杶,,,出,春公,1
708,傯,,,出,春公,1
709,蠢,,,出,春公,2
710,惷,,,出,春公,2
711,睶,,,出,春公,2
712,𨙔,,,出,春公,2
713,𢾎,,,出,春公,2
714,踳,,,出,春公,2
715,㿤,,,出,春公,2
716,萶,,,出,春公,2
717,䮞,,,出,春公,2
718,賰,,,出,春公,2
719,䦮,,,出,春公,2
720,𢧔,,,出,春公,2
721,春,,,出,春公,2
722,䐏,,,出,春公,2
723,出,,,出,春公,4
724,炪,,,出,春公,4
725,風,,,非風,春公,1
726,楓,,,非風,春公,1
727,瘋,,,非風,春公,1
728,丰,,,非風,春公,1
729,峯,,,非風,春公,1
730,峰,,,非風,春公,1
731,縫,,,非風,春公,1
732,鋒,,,非風,春公,1
733,烽,,,非風,春公,1
734,㷭,,,非風,春公,1
735,吩,,,非風,春公,1
736,分,,,非風,春公,1
737,芬,,,非風,春公,1
738,紛,,,非風,春公,1
739,氛,,,非風,春公,1
740,封,,,非風,春公,1
741,葑,,,非風,春公,1
742,葷,,,非風,春公,1
743,豊,,,非風,春公,1
744,酆,,,非風,春公,1
745,翁,,,非風,春公,1
746,昐,,,非風,春公,1
747,棼,,,非風,春公,1
748,肦,,,非風,春公,1
749,猦,,,非風,春公,1
750,蘴,,,非風,春公,1
751,犎,,,非風,春公,1
752,栙,,,非風,春公,1
753,麷,,,非風,春公,1
754,灃,,,非風,春公,1
755,帉,,,非風,春公,1
756,𣬩,,,非風,春公,1
757,𩃼,,,非風,春公,1
758,靊,,,非風,春公,1
759,粉,,,非風,春公,2
760,憤,,,非風,春公,2
761,忿,,,非風,春公,2
762,坌,,,非風,春公,2
763,坋,,,非風,春公,2
764,哄,,,非風,春公,2
765,閧,,,非風,春公,2
766,嗊,,,非風,春公,2
767,𩒓,,,非風,春公,2
768,𩢙,,,非風,春公,2
769,鱝,,,非風,春公,2
770,㱵,,,非風,春公,2
771,捧,,,非風,春公,2
772,訓,,,非風,春公,3
773,𡏰,,,非風,春公,3
774,𢹔,,,非風,春公,3
775,瀵,,,非風,春公,3
776,煈,,,非風,春公,3
777,𢅯,,,非風,春公,3
778,俸,,,非風,春公,3
779,奮,,,非風,春公,3
780,諷,,,非風,春公,3
781,賵,,,非風,春公,3
782,𠙒,,,非風,春公,3
783,糞,,,非風,春公,3
784,僨,,,非風,春公,3
785,𪇑,,,非風,春公,3
786,福,,,非風,春公,4
787,笰,,,非風,春公,4
788,𦐓,,,非風,春公,4
789,茇,,,非風,春公,4
790,⿰巾叐,帗,,非風,春公,4
791,黻,,,非風,春公,4
792,紱,,,非風,春公,4
793,冹,,,非風,春公,4
794,幅,,,非風,春公,4
795,輻,,,非風,春公,4
796,蝠,,,非風,春公,4
797,覆,,,非風,春公,4
798,馥,,,非風,春公,4
799,弗,,,非風,春公,4
800,艴,,,非風,春公,4
801,彿,,,非風,春公,4
802,怫,,,非風,春公,4
803,𢘍,,,非風,春公,4
804,髴,,,非風,春公,4
805,韍,,,非風,春公,4
806,祓,,,非風,春公,4
807,刜,,,非風,春公,4
808,茀,,,非風,春公,4
809,芾,,,非風,春公,4
810,蝮,,,非風,春公,4
811,𩮘,,,非風,春公,4
812,䀟,,,非風,春公,4
813,𩋨,,,非風,春公,4
814,䞞,,,非風,春公,4
815,復,,,非風,春公,4
816,拂,,,非風,春公,4
817,雲,,,非風,春公,5
818,紅,,,非風,春公,5
819,灴,,,非風,春公,5
820,鴻,,,非風,春公,5
821,虹,,,非風,春公,5
822,焚,,,非風,春公,5
823,燌,,,非風,春公,5
824,炃,,,非風,春公,5
825,墳,,,非風,春公,5
826,洪,,,非風,春公,5
827,𢊱,,,非風,春公,5
828,逢,,,非風,春公,5
829,馮,,,非風,春公,5
830,䰟,,,非風,春公,5
831,魂,,,非風,春公,5
832,渾,,,非風,春公,5
833,洚,,,非風,春公,5
834,渢,,,非風,春公,5
835,𧡡,,,非風,春公,5
836,瘒,,,非風,春公,5
837,㿎,,,非風,春公,5
838,䮝,,,非風,春公,5
839,𢴢,,,非風,春公,5
840,䫹,,,非風,春公,5
841,羵,,,非風,春公,5
842,渱,,,非風,春公,5
843,饙,,,非風,春公,5
844,餴,,,非風,春公,5
845,霟,,,非風,春公,5
846,訌,,,非風,春公,5
847,轒,,,非風,春公,5
848,䪦,,,非風,春公,5
849,䡣,,,非風,春公,5
850,浲,,,非風,春公,5
851,鳳,,,非風,春公,7
852,混,,,非風,春公,7
853,溷,,,非風,春公,7
854,䛰,,,非風,春公,7
855,餛,,,非風,春公,7
856,奉,,,非風,春公,7
857,分,,,非風,春公,7
858,𦞢,,,非風,春公,7
859,𦡵,,,非風,春公,7
860,佛,,,非風,春公,8
861,⿰⺅⿱⻃國,𠏹,,非風,春公,8
862,岪,,,非風,春公,8
863,坲,,,非風,春公,8
864,咈,,,非風,春公,8
